"start_station_latitude","start_station_longitude","start_position","Weight"
"40.73381219","-73.98054421","40.73381219,-73.98054421","2974"
"40.73454567","-73.99074142","40.73454567,-73.99074142","73682"
"40.74173969","-73.99415556","40.74173969,-73.99415556","87149"
"40.74232744","-73.95411749","40.74232744,-73.95411749","6437"
"40.7423543","-73.98915076","40.7423543,-73.98915076","60968"
"40.74487634","-73.99529885","40.74487634,-73.99529885","53083"
"40.7451677","-73.98683077","40.7451677,-73.98683077","40371"
"40.74734825","-73.99723551","40.74734825,-73.99723551","46488"
"40.74901271","-73.98848395","40.74901271,-73.98848395","48066"
"40.74966","-73.9521","40.74966,-73.9521","1120"
"40.75096734871598","-73.99444207549095","40.75096734871598,-73.99444207549095","80736"
"40.75096735","-73.99444208","40.75096735,-73.99444208","13650"
"40.751551","-73.993934","40.751551,-73.993934","64878"
"40.752062307","-73.9816324043","40.752062307,-73.9816324043","18256"
"40.75992262","-73.97648516","40.75992262,-73.97648516","27223"
"40.76087502","-74.00277668","40.76087502,-74.00277668","51660"
"40.7612274","-73.96094022","40.7612274,-73.96094022","10687"
"40.76340613","-73.97722479","40.76340613,-73.97722479","34467"
"40.76344058","-73.98268129","40.76344058,-73.98268129","23449"
"40.76440023","-73.96648977","40.76440023,-73.96648977","3501"
"40.76584941","-73.98690506","40.76584941,-73.98690506","17908"
"40.76915505","-73.98191841","40.76915505,-73.98191841","63291"
"40.771051856415305","-73.9643383026123","40.771051856415305,-73.9643383026123","1039"
"40.77118287540658","-73.96409422159195","40.77118287540658,-73.96409422159195","3004"
"40.77682863439968","-73.96388769149779","40.77682863439968,-73.96388769149779","8615"
"40.7801839724239","-73.97728532552719","40.7801839724239,-73.97728532552719","3900"
"40.78414472","-73.98362492","40.78414472,-73.98362492","5280"
"40.68061768455451","-73.94624948501587","40.68061768455451,-73.94624948501587","522"
"40.6809833854","-73.9500479759","40.6809833854,-73.9500479759","5509"
"40.6823687","-73.944118","40.6823687,-73.944118","1235"
"40.68382604","-73.97632328","40.68382604,-73.97632328","11140"
"40.688226","-73.979382","40.688226,-73.979382","7202"
"40.69028437","-73.98707105","40.69028437,-73.98707105","4355"
"40.69089272","-73.99612349","40.69089272,-73.99612349","12171"
"40.69196566","-73.9813018","40.69196566,-73.9813018","9694"
"40.69237074","-73.93705428","40.69237074,-73.93705428","1100"
"40.69239502","-73.99337909","40.69239502,-73.99337909","10116"
"40.69246277","-73.98963911","40.69246277,-73.98963911","1448"
"40.694528","-73.958089","40.694528,-73.958089","2893"
"40.69766564","-73.98476437","40.69766564,-73.98476437","5337"
"40.69794","-73.96986848","40.69794,-73.96986848","5027"
"40.700469","-73.991454","40.700469,-73.991454","3780"
"40.701907","-74.013942","40.701907,-74.013942","20696"
"40.70224","-73.982578","40.70224,-73.982578","5955"
"40.7031724","-73.940636","40.7031724,-73.940636","1410"
"40.70355377","-74.00670227","40.70355377,-74.00670227","24323"
"40.70853074","-73.96408963","40.70853074,-73.96408963","2721"
"40.710451","-73.960876","40.710451,-73.960876","26643"
"40.71076228","-73.99400398","40.71076228,-73.99400398","11952"
"40.71103537","-73.94714303","40.71103537,-73.94714303","2563"
"40.71173107","-73.99193043","40.71173107,-73.99193043","11578"
"40.71269042","-73.98776323","40.71269042,-73.98776323","14384"
"40.71285887","-73.96590294","40.71285887,-73.96590294","10560"
"40.71286844","-73.95698119","40.71286844,-73.95698119","11152"
"40.71413089","-73.9970468","40.71413089,-73.9970468","21563"
"40.71450451","-74.00562789","40.71450451,-74.00562789","20263"
"40.7149787","-74.013012","40.7149787,-74.013012","20713"
"40.7160751","-73.952029","40.7160751,-73.952029","2187"
"40.71774592","-73.95600096","40.71774592,-73.95600096","9222"
"40.7190095","-73.95852515","40.7190095,-73.95852515","5500"
"40.7208736","-73.98085795","40.7208736,-73.98085795","20002"
"40.72152240339303","-73.94898265600203","40.72152240339303,-73.94898265600203","544"
"40.722852","-73.959114","40.722852,-73.959114","315"
"40.72368361","-73.97574813","40.72368361,-73.97574813","10213"
"40.724055","-73.955736","40.724055,-73.955736","1047"
